"rmse" "theta" "estimator" "model" "samplesize"
0.744180779252201 0.1 "A" "Model I" "n=500"
0.875154638616368 0.2 "A" "Model I" "n=500"
0.952196465665475 0.3 "A" "Model I" "n=500"
1.07722491323948 0.4 "A" "Model I" "n=500"
1.09129619202577 0.5 "A" "Model I" "n=500"
1.13327435702085 0.6 "A" "Model I" "n=500"
1.265019077342 0.7 "A" "Model I" "n=500"
1.4018448671326 0.8 "A" "Model I" "n=500"
1.54554105075076 0.9 "A" "Model I" "n=500"
0.797947387583554 0.1 "B" "Model I" "n=500"
0.706907087005675 0.2 "B" "Model I" "n=500"
0.830474698031321 0.3 "B" "Model I" "n=500"
1.04713699049316 0.4 "B" "Model I" "n=500"
1.00022731730714 0.5 "B" "Model I" "n=500"
1.1782406670507 0.6 "B" "Model I" "n=500"
1.29249893082306 0.7 "B" "Model I" "n=500"
1.37762879631482 0.8 "B" "Model I" "n=500"
1.48049702835269 0.9 "B" "Model I" "n=500"
0.635792716965079 0.1 "A" "Model II" "n=500"
0.890331750735641 0.2 "A" "Model II" "n=500"
0.890745614655316 0.3 "A" "Model II" "n=500"
0.965350481728092 0.4 "A" "Model II" "n=500"
1.19308306467719 0.5 "A" "Model II" "n=500"
1.24149637543596 0.6 "A" "Model II" "n=500"
1.32890852731653 0.7 "A" "Model II" "n=500"
1.37796569699422 0.8 "A" "Model II" "n=500"
1.53970872787759 0.9 "A" "Model II" "n=500"
0.708811572892591 0.1 "B" "Model II" "n=500"
0.745293435733765 0.2 "B" "Model II" "n=500"
0.896911551011726 0.3 "B" "Model II" "n=500"
1.05860143397003 0.4 "B" "Model II" "n=500"
1.00119752590545 0.5 "B" "Model II" "n=500"
1.13754248917103 0.6 "B" "Model II" "n=500"
1.33636672464199 0.7 "B" "Model II" "n=500"
1.37402082472108 0.8 "B" "Model II" "n=500"
1.47232511402108 0.9 "B" "Model II" "n=500"
0.773758979700506 0.1 "A" "Model III" "n=500"
0.880830933153629 0.2 "A" "Model III" "n=500"
0.923484913120046 0.3 "A" "Model III" "n=500"
0.926806326908991 0.4 "A" "Model III" "n=500"
1.15643865610473 0.5 "A" "Model III" "n=500"
1.18583976398222 0.6 "A" "Model III" "n=500"
1.38545479499735 0.7 "A" "Model III" "n=500"
1.45464864494279 0.8 "A" "Model III" "n=500"
1.45193624934182 0.9 "A" "Model III" "n=500"
0.664244934683666 0.1 "B" "Model III" "n=500"
0.712039031460881 0.2 "B" "Model III" "n=500"
0.808691290766001 0.3 "B" "Model III" "n=500"
0.911010763654485 0.4 "B" "Model III" "n=500"
1.12510855938308 0.5 "B" "Model III" "n=500"
1.29289405774325 0.6 "B" "Model III" "n=500"
1.36546057378873 0.7 "B" "Model III" "n=500"
1.36300564729609 0.8 "B" "Model III" "n=500"
1.44260509018786 0.9 "B" "Model III" "n=500"
